English,Portuguese
a,uma
about,cerca de
all,tudo
also,tambem
and,e
as,como
at,no
be,ser
because,Porque
but,mas
by,de
can,posso
come,venha
could,poderia
day,dia
do,Faz
even,até
find,achar
first,primeiro
for,para
from,a partir de
get,obter
give,dar
go,vai
have,ter
he,ele
her,sua
here,aqui
him,ele
his,seu
how,Como
I,eu
if,E se
in,dentro
into,para dentro
it,isto
its,Está
just,somente
know,conhecer
like,Como
look,Veja
make,faço
man,homem
many,vários
me,Eu
more,mais
my,minha
new,novo
no,não
not,não
now,agora
of,de
on,sobre
one,1
only,só
or,ou
other,outro
our,nosso
out,Fora
people,pessoas
say,dizer
see,Vejo
she,ela
so,tão
some,algum
take,levar
tell,contar
than,que
that,naquela
the,a
their,seus
them,eles
then,então
there,lá
these,esses
they,eles
thing,coisa
think,pensar
this,esta
those,Essa
time,Tempo
to,para
two,dois
up,pra cima
use,usar
very,muito
want,quer
way,caminho
we,nós
well,bem
what,o que
when,quando
which,que
who,quem
will,vontade
with,com
would,seria
year,ano
you,vocês
your,sua